objectId,label
14109,"BLUEBELL SECURITIES CO., LTD."
14110,BLUESEAS ENTERPRISE COMPANY LIMITED
14111,BNN RESTAURANT GROUP COMPANY LIMITED
14112,"BOLT & NUT INDUSTRY CO., LTD."
21276,Boromarajonani College of Nursing Nopparat Vajira
14113,"BOSS OUTSOURCING SERVICE RECRUITMENT CO.,LTD."
14114,BOSS PHARMACARE COMPANY LIMITED
14115,BOWINS SILVER COMPANY LIMITED
14116,BRAINERGY COMPANY LIMITED
14117,"BRAIVEN CO., LTD."
14118,"BRIDGESTONE METALPHA (THAILAND) CO., LTD."
14119,BRINK'S GLOBAL TECHNOLOGY COMPANY LIMITED
14120,BROADCAST THAI-TELEVISION COMPANY LIMITED
14121,BROTHER COMMERCIAL (THAILAND) LIMITED
14122,BROWN BOXES COMPANY LIMITED
14123,"BSCM FOODS CO.,LTD."
24696,BUALUANG SECURITIES PUBLIC COMPANY LIMITED
14124,BUI LIFE INSURANCE PUBLIC COMPANY LIMITED
14125,BUILK ONE GROUP COMPANY LIMITED
14126,BUKALO TRADING COMPANY LIMITED
14127,BUONO (THAILAND) PUBLIC COMPANY LIMITED
26160,BUSINESS EXCELLENT SURVEYORS (THAILAND) COMPANY LIMITED
14128,BUSINESS ONLINE PUBLIC COMPANY LIMITED
14133,C B C (THAILAND) COMPANY LIMITED
14134,C M POS COMPANY LIMITED
14135,C.I.T. PROPERTY CONSULTANTS COMPANY LIMITED
14136,C.L.P ENGINEERING COMPANY LIMITED
14137,C2K IT SERVICES COMPANY LIMITED
14138,"CAR PARTS AND SUPPLIES CO., LTD."
14139,"CAR PARTS NAVI CO., LTD."
14140,CARABAO TAWANDANG COMPANY LIMITED
14141,"CARPE DIEM CO.,LTD."
14142,CATERING LINES COMPANY LIMITED
14143,"CATHAY LEASING CO., LTD."
14144,CCF (Community Children Foundation) Under the Royal Patronage of HRH Princess Maha Chakri Sirindhorn
26072,"CDG System Co.,Ltd"
14145,"CENTRAL WATSON CO., LTD."
14146,"CERAS imply Co.,Ltd."
14147,"CGS INTERNATIONAL SECURITIES (THAILAND) CO., LTD."
14148,CHABA ELEGANCE COMPANY LIMITED
14149,CHADA PROPERTY COMPANY LIMITED
14204,"Chainunt Construction Co,. Ltd."
14150,CHAKANGRAO STARCH COMPANY LIMITED
14151,CHAMNI' SEYE PUBLIC COMPANY LIMITED
14152,"CHAN WANICH CO., LTD."
14153,CHANGPINIT ENGINEERING(2539) COMPANY LIMITED
14205,Chapman Taylor (Thailand) COMPANY LIMITED
26099,"CHAROEN AXSORN HOLDING GROUP CO., LTD"
14154,CHAROENKIT ENTERPRISE COMPANY LIMITED
14155,"CHAROENSIN ASSET CO., LTD"
21278,"CHAROENSIN CAPITAL CO., LTD."
14156,CHARTERWAY INTERNATIONAL COMPANY LIMITED
14157,CHATTHAPORN INSURANCE BROKER COMPANY LIMITED
14158,CHAZ INSURANCE BROKERS LTD.
14159,"CHEME INNOVETION CO., LTD."
14160,"CHEMICAL HOUSE & LAB INSTRUMENT CO., LTD."
14161,CHEMICO INTER CORPORATION COMPANY LIMITED
